id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_4994e4ab_003A18_0480	txt_4994e4ab_003A18_0480	param	param/jyutu_data.dat	0x3A18	480	82 b1 82 a4 82 e7 82 da 82 a4 82 ac 82 e5	こうらぼうぎょ			pending_translation	unknown	yes			14	0	鄕y	鄕y
zh_txt_4994e4ab_003A40_0481	txt_4994e4ab_003A40_0481	param	param/jyutu_data.dat	0x3A40	481	fb b8 79	鄕y			pending_translation	unknown	yes			3	1	こうらぼうぎょ	はねせんぼん
zh_txt_4994e4ab_003A44_0482	txt_4994e4ab_003A44_0482	param	param/jyutu_data.dat	0x3A44	482	82 cd 82 cb 82 b9 82 f1 82 da 82 f1	はねせんぼん			pending_translation	unknown	yes			12	2	鄕y	鄕y
zh_txt_4994e4ab_003A6C_0483	txt_4994e4ab_003A6C_0483	param	param/jyutu_data.dat	0x3A6C	483	fb b8 79	鄕y			pending_translation	unknown	yes			3	3	はねせんぼん	チャクラのつばさ
zh_txt_4994e4ab_003A70_0484	txt_4994e4ab_003A70_0484	param	param/jyutu_data.dat	0x3A70	484	83 60 83 83 83 4e 83 89 82 cc 82 c2 82 ce 82 b3	チャクラのつばさ			pending_translation	unknown	yes			16	4	鄕y	鄕y
zh_txt_4994e4ab_003A98_0485	txt_4994e4ab_003A98_0485	param	param/jyutu_data.dat	0x3A98	485	fb b8 79	鄕y			pending_translation	unknown	yes			3	5	チャクラのつばさ	ねこパンチ
zh_txt_4994e4ab_003A9C_0486	txt_4994e4ab_003A9C_0486	param	param/jyutu_data.dat	0x3A9C	486	82 cb 82 b1 83 70 83 93 83 60	ねこパンチ			pending_translation	unknown	yes			10	6	鄕y	鄕y
zh_txt_4994e4ab_003AC4_0487	txt_4994e4ab_003AC4_0487	param	param/jyutu_data.dat	0x3AC4	487	fb b8 79	鄕y			pending_translation	unknown	yes			3	7	ねこパンチ	こばんなげ
zh_txt_4994e4ab_003AC8_0488	txt_4994e4ab_003AC8_0488	param	param/jyutu_data.dat	0x3AC8	488	82 b1 82 ce 82 f1 82 c8 82 b0	こばんなげ			pending_translation	unknown	yes			10	8	鄕y	鄕y
zh_txt_4994e4ab_003AF0_0489	txt_4994e4ab_003AF0_0489	param	param/jyutu_data.dat	0x3AF0	489	fb b8 79	鄕y			pending_translation	unknown	yes			3	9	こばんなげ	ひでんのキズぐすり
