id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_83fa4652_005EE0_0320	txt_83fa4652_005EE0_0320	param	param/skill_data.dat	0x5EE0	320	82 a0 82 b5 82 c7 82 df	あしどめ			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	8	0	あしどめ	かげをあやつるもの
zh_txt_83fa4652_005F00_0321	txt_83fa4652_005F00_0321	param	param/skill_data.dat	0x5F00	321	82 a9 82 b0 82 f0 82 a0 82 e2 82 c2 82 e9 82 e0 82 cc	かげをあやつるもの			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	18	1	あしどめ	かげをあやつるもの
zh_txt_83fa4652_005F78_0322	txt_83fa4652_005F78_0322	param	param/skill_data.dat	0x5F78	322	82 a9 82 b0 82 f0 82 a0 82 e2 82 c2 82 e9 82 e0 82 cc	かげをあやつるもの			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	18	2	かげをあやつるもの	にくだんはりせんしゃ
zh_txt_83fa4652_005F98_0323	txt_83fa4652_005F98_0323	param	param/skill_data.dat	0x5F98	323	82 c9 82 ad 82 be 82 f1 82 cd 82 e8 82 b9 82 f1 82 b5 82 e1	にくだんはりせんしゃ			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	20	3	かげをあやつるもの	にくだんはりせんしゃ
zh_txt_83fa4652_006010_0324	txt_83fa4652_006010_0324	param	param/skill_data.dat	0x6010	324	82 c9 82 ad 82 be 82 f1 82 cd 82 e8 82 b9 82 f1 82 b5 82 e1	にくだんはりせんしゃ			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	20	4	にくだんはりせんしゃ	さいごのひとくち
zh_txt_83fa4652_006030_0325	txt_83fa4652_006030_0325	param	param/skill_data.dat	0x6030	325	82 b3 82 a2 82 b2 82 cc 82 d0 82 c6 82 ad 82 bf	さいごのひとくち			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	16	5	にくだんはりせんしゃ	さいごのひとくち
zh_txt_83fa4652_0060A8_0326	txt_83fa4652_0060A8_0326	param	param/skill_data.dat	0x60A8	326	82 b3 82 a2 82 b2 82 cc 82 d0 82 c6 82 ad 82 bf	さいごのひとくち			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	16	6	さいごのひとくち	忍犬赤丸
zh_txt_83fa4652_0060C8_0327	txt_83fa4652_0060C8_0327	param	param/skill_data.dat	0x60C8	327	94 45 8c a2 90 d4 8a db	忍犬赤丸			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	8	7	さいごのひとくち	にんけんあかまる
zh_txt_83fa4652_006140_0328	txt_83fa4652_006140_0328	param	param/skill_data.dat	0x6140	328	82 c9 82 f1 82 af 82 f1 82 a0 82 a9 82 dc 82 e9	にんけんあかまる			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	16	8	忍犬赤丸	日向のひじゅつ
zh_txt_83fa4652_006160_0329	txt_83fa4652_006160_0329	param	param/skill_data.dat	0x6160	329	93 fa 8c fc 82 cc 82 d0 82 b6 82 e3 82 c2	日向のひじゅつ			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	14	9	にんけんあかまる	ひゅうがのひじゅつ
zh_txt_83fa4652_0061D8_0330	txt_83fa4652_0061D8_0330	param	param/skill_data.dat	0x61D8	330	82 d0 82 e3 82 a4 82 aa 82 cc 82 d0 82 b6 82 e3 82 c2	ひゅうがのひじゅつ			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	18	10	日向のひじゅつ	バトル口よせ・ガマ吉
zh_txt_83fa4652_0061F8_0331	txt_83fa4652_0061F8_0331	param	param/skill_data.dat	0x61F8	331	83 6f 83 67 83 8b 8c fb 82 e6 82 b9 81 45 83 4b 83 7d 8b 67	バトル口よせ・ガマ吉			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	20	11	ひゅうがのひじゅつ	バトルくちよせ・ガマきち
zh_txt_83fa4652_006270_0332	txt_83fa4652_006270_0332	param	param/skill_data.dat	0x6270	332	83 6f 83 67 83 8b 82 ad 82 bf 82 e6 82 b9 81 45 83 4b 83 7d 82 ab 82 bf	バトルくちよせ・ガマきち			todo_candidate_boundary	unknown	yes		candidate dump; confirm boundary/control codes before baseline freeze	24	12	バトル口よせ・ガマ吉	バトル口よせ・ガマ竜
