id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_21b4b5ce_001220_0000	txt_21b4b5ce_001220_0000	param	param/btlcmd/btlcmd.dat	0x1220	0	22 90 5c	"""申"	申		translated_aligned	tight	yes			3	0	ひきつづき　しのび札のこうかんを　おこないますか？{CTRL_0000}ワイヤレスつうしんを　しゅうりょうしますか？{CTRL_0000}こうかんを　ちゅうしして{CTRL_0001}ワイヤレスつうしんを　しゅうりょうしますか？{CTRL_0000}じぶんルール{CTRL_0000}メンバーせってい{CTRL_0000}けってい{CTRL_0000}つうしんたいせん　じゅんびちゅう{CTRL_0000}　　　　　じゅんびかんりょう！{CTRL_0000}こすう　　　{CTRL_0000}にんりょく　{CTRL_0000}　じぶん{CTRL_0000}　あいて{CTRL_0000}あいての　へんじを　まっています・・・{CTRL_0000}あいてが　こうかんを　ちゅうししました{CTRL_0001}つうしんを　しゅうりょうします{CTRL_0000}にんじゅつけいしのび札{CTRL_0000}ステータスけいしのび札{CTRL_0000}たいせいけいしのび札{CTRL_0000}とくしゅけいしのび札{CTRL_0000}こうかんするキャラ・手形{CTRL_0000}こうかんするしのび札　　{CTRL_0000}こうかんを　ちゅうししました{CTRL_0001}つうしんを　しゅうりょうします{CTRL_0000}セーブしています{CTRL_0001}でんげんをきらないでください・・・	"""伸"
zh_txt_21b4b5ce_00126C_0001	txt_21b4b5ce_00126C_0001	param	param/btlcmd/btlcmd.dat	0x126C	1	22 90 4c	"""伸"	伸		translated_aligned	tight	yes			3	1	"""申"	"""成"
zh_txt_21b4b5ce_0012B8_0002	txt_21b4b5ce_0012B8_0002	param	param/btlcmd/btlcmd.dat	0x12B8	2	22 90 ac	"""成"	成		translated_aligned	tight	yes			3	2	"""伸"	e旋
zh_txt_21b4b5ce_001694_0003	txt_21b4b5ce_001694_0003	param	param/btlcmd/btlcmd.dat	0x1694	3	65 90 f9	e旋	旋		translated_aligned	tight	yes			3	3	"""成"	e尽
zh_txt_21b4b5ce_001BEC_0004	txt_21b4b5ce_001BEC_0004	param	param/btlcmd/btlcmd.dat	0x1BEC	4	65 90 73	e尽	尽		translated_aligned	tight	yes			3	4	e旋	`成
zh_txt_21b4b5ce_002014_0005	txt_21b4b5ce_002014_0005	param	param/btlcmd/btlcmd.dat	0x2014	5	60 90 ac	`成	成		translated_aligned	tight	yes			3	5	e尽	`伸
zh_txt_21b4b5ce_002060_0006	txt_21b4b5ce_002060_0006	param	param/btlcmd/btlcmd.dat	0x2060	6	60 90 4c	`伸	伸		translated_aligned	tight	yes			3	6	`成	@伸
zh_txt_21b4b5ce_0020AC_0007	txt_21b4b5ce_0020AC_0007	param	param/btlcmd/btlcmd.dat	0x20AC	7	40 90 4c	@伸	伸		translated_aligned	tight	yes			3	7	`伸	@川
zh_txt_21b4b5ce_0020F8_0008	txt_21b4b5ce_0020F8_0008	param	param/btlcmd/btlcmd.dat	0x20F8	8	40 90 ec	@川	川		translated_aligned	tight	yes			3	8	@伸	0川
zh_txt_21b4b5ce_002144_0009	txt_21b4b5ce_002144_0009	param	param/btlcmd/btlcmd.dat	0x2144	9	30 90 ec	0川	川		translated_aligned	tight	yes			3	9	@川	0酔
zh_txt_21b4b5ce_002190_0010	txt_21b4b5ce_002190_0010	param	param/btlcmd/btlcmd.dat	0x2190	10	30 90 8c	0酔	醉		translated_aligned	tight	yes			3	10	0川	5蹟
zh_txt_21b4b5ce_002228_0011	txt_21b4b5ce_002228_0011	param	param/btlcmd/btlcmd.dat	0x2228	11	35 90 d6	5蹟	迹		translated_aligned	tight	yes			3	11	0酔	5姓
zh_txt_21b4b5ce_002274_0012	txt_21b4b5ce_002274_0012	param	param/btlcmd/btlcmd.dat	0x2274	12	35 90 a9	5姓	姓		translated_aligned	tight	yes			3	12	5蹟	e旋
