id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_4994e4ab_003A18_0480	txt_4994e4ab_003A18_0480	param	param/jyutu_data.dat	0x3A18	480	82 b1 82 a4 82 e7 82 da 82 a4 82 ac 82 e5	こうらぼうぎょ	甲壳防御  		translated_aligned	tight	yes			14	0		はねせんぼん
zh_txt_4994e4ab_003A44_0482	txt_4994e4ab_003A44_0482	param	param/jyutu_data.dat	0x3A44	482	82 cd 82 cb 82 b9 82 f1 82 da 82 f1	はねせんぼん	羽千本   		translated_aligned	ok	yes			12	1	こうらぼうぎょ	チャクラのつばさ
zh_txt_4994e4ab_003A70_0484	txt_4994e4ab_003A70_0484	param	param/jyutu_data.dat	0x3A70	484	83 60 83 83 83 4e 83 89 82 cc 82 c2 82 ce 82 b3	チャクラのつばさ	查克拉之翼 		translated_aligned	tight	yes			16	2	はねせんぼん	ねこパンチ
zh_txt_4994e4ab_003A9C_0486	txt_4994e4ab_003A9C_0486	param	param/jyutu_data.dat	0x3A9C	486	82 cb 82 b1 83 70 83 93 83 60	ねこパンチ	猫拳    		translated_aligned	ok	yes			10	3	チャクラのつばさ	こばんなげ
zh_txt_4994e4ab_003AC8_0488	txt_4994e4ab_003AC8_0488	param	param/jyutu_data.dat	0x3AC8	488	82 b1 82 ce 82 f1 82 c8 82 b0	こばんなげ	扔小判 		translated_aligned	tight	yes			10	4	ねこパンチ	ひでんのキズぐすり
zh_txt_4994e4ab_003AF4_0490	txt_4994e4ab_003AF4_0490	param	param/jyutu_data.dat	0x3AF4	490	82 d0 82 c5 82 f1 82 cc 83 4c 83 59 82 ae 82 b7 82 e8	ひでんのキズぐすり	秘传伤药      		translated_aligned	ok	yes			18	5	こばんなげ	どくばり
zh_txt_4994e4ab_003B20_0492	txt_4994e4ab_003B20_0492	param	param/jyutu_data.dat	0x3B20	492	82 c7 82 ad 82 ce 82 e8	どくばり	毒针  		translated_aligned	ok	yes			8	6	ひでんのキズぐすり	しびればり
zh_txt_4994e4ab_003B4C_0494	txt_4994e4ab_003B4C_0494	param	param/jyutu_data.dat	0x3B4C	494	82 b5 82 d1 82 ea 82 ce 82 e8	しびればり	麻痹针 		translated_aligned	tight	yes			10	7	どくばり	いちげきばり
zh_txt_4994e4ab_003B78_0496	txt_4994e4ab_003B78_0496	param	param/jyutu_data.dat	0x3B78	496	82 a2 82 bf 82 b0 82 ab 82 ce 82 e8	いちげきばり	一击针   		translated_aligned	ok	yes			12	8	しびればり	しこみがたな
zh_txt_4994e4ab_003BA4_0498	txt_4994e4ab_003BA4_0498	param	param/jyutu_data.dat	0x3BA4	498	82 b5 82 b1 82 dd 82 aa 82 bd 82 c8	しこみがたな	隐藏刀   		translated_aligned	ok	yes			12	9	いちげきばり	どくけむり
zh_txt_4994e4ab_003BD0_0500	txt_4994e4ab_003BD0_0500	param	param/jyutu_data.dat	0x3BD0	500	82 c7 82 ad 82 af 82 de 82 e8	どくけむり	毒烟    		translated_aligned	ok	yes			10	10	しこみがたな	さいみんガス
zh_txt_4994e4ab_003BFC_0502	txt_4994e4ab_003BFC_0502	param	param/jyutu_data.dat	0x3BFC	502	82 b3 82 a2 82 dd 82 f1 83 4b 83 58	さいみんガス	催眠瓦斯		translated_aligned	tight	yes			12	11	どくけむり	みねうち
zh_txt_4994e4ab_003C28_0504	txt_4994e4ab_003C28_0504	param	param/jyutu_data.dat	0x3C28	504	82 dd 82 cb 82 a4 82 bf	みねうち	峰打  		translated_aligned	ok	yes			8	12	さいみんガス	いあい
zh_txt_4994e4ab_003C54_0506	txt_4994e4ab_003C54_0506	param	param/jyutu_data.dat	0x3C54	506	82 a2 82 a0 82 a2	いあい	居合		translated_aligned	tight	yes			6	13	みねうち	にとうりゅう
zh_txt_4994e4ab_003C80_0508	txt_4994e4ab_003C80_0508	param	param/jyutu_data.dat	0x3C80	508	82 c9 82 c6 82 a4 82 e8 82 e3 82 a4	にとうりゅう	二刀流   		translated_aligned	ok	yes			12	14	いあい	らんぎり
zh_txt_4994e4ab_003CAC_0510	txt_4994e4ab_003CAC_0510	param	param/jyutu_data.dat	0x3CAC	510	82 e7 82 f1 82 ac 82 e8	らんぎり	乱斩  		translated_aligned	ok	yes			8	15	にとうりゅう	いなずまぎり
zh_txt_4994e4ab_003CD8_0512	txt_4994e4ab_003CD8_0512	param	param/jyutu_data.dat	0x3CD8	512	82 a2 82 c8 82 b8 82 dc 82 ac 82 e8	いなずまぎり	闪电斩   		translated_aligned	ok	yes			12	16	らんぎり	しんがん
zh_txt_4994e4ab_003D04_0514	txt_4994e4ab_003D04_0514	param	param/jyutu_data.dat	0x3D04	514	82 b5 82 f1 82 aa 82 f1	しんがん	心眼  		translated_aligned	ok	yes			8	17	いなずまぎり	かくごしろ！
zh_txt_4994e4ab_003D30_0516	txt_4994e4ab_003D30_0516	param	param/jyutu_data.dat	0x3D30	516	82 a9 82 ad 82 b2 82 b5 82 eb 81 49	かくごしろ！	觉悟吧！		translated_aligned	tight	yes			12	18	しんがん	オノもうだ
zh_txt_4994e4ab_003D5C_0518	txt_4994e4ab_003D5C_0518	param	param/jyutu_data.dat	0x3D5C	518	83 49 83 6d 82 e0 82 a4 82 be	オノもうだ	斧头！ 		translated_aligned	tight	yes			10	19	かくごしろ！	であえー！
zh_txt_4994e4ab_003D88_0520	txt_4994e4ab_003D88_0520	param	param/jyutu_data.dat	0x3D88	520	82 c5 82 a0 82 a6 81 5b 81 49	であえー！	上吧！ 		translated_aligned	tight	yes			10	20	オノもうだ	であえー！！
zh_txt_4994e4ab_003DB4_0522	txt_4994e4ab_003DB4_0522	param	param/jyutu_data.dat	0x3DB4	522	82 c5 82 a0 82 a6 81 5b 81 49 81 49	であえー！！	上吧！！		translated_aligned	tight	yes			12	21	であえー！	つき
zh_txt_4994e4ab_003DE0_0524	txt_4994e4ab_003DE0_0524	param	param/jyutu_data.dat	0x3DE0	524	82 c2 82 ab	つき	刺!		translated_aligned	tight	yes			4	22	であえー！！	しゅりけん攻撃
zh_txt_4994e4ab_003E0C_0526	txt_4994e4ab_003E0C_0526	param	param/jyutu_data.dat	0x3E0C	526	82 b5 82 e3 82 e8 82 af 82 f1 8d 55 8c 82	しゅりけん攻撃	手里剑击  		translated_aligned	tight	yes			14	23	つき	ゆうわく
zh_txt_4994e4ab_003E38_0528	txt_4994e4ab_003E38_0528	param	param/jyutu_data.dat	0x3E38	528	82 e4 82 a4 82 ed 82 ad	ゆうわく	诱惑  		translated_aligned	ok	yes			8	24	しゅりけん攻撃	口よせの術
zh_txt_4994e4ab_003E64_0530	txt_4994e4ab_003E64_0530	param	param/jyutu_data.dat	0x3E64	530	8c fb 82 e6 82 b9 82 cc 8f 70	口よせの術	通灵术 		translated_aligned	tight	yes			10	25	ゆうわく	まげんぶんしんの術
zh_txt_4994e4ab_003E90_0532	txt_4994e4ab_003E90_0532	param	param/jyutu_data.dat	0x3E90	532	82 dc 82 b0 82 f1 82 d4 82 f1 82 b5 82 f1 82 cc 8f 70	まげんぶんしんの術	魔幻分身术   		translated_aligned	ok	yes			18	26	口よせの術	かつ！！
zh_txt_4994e4ab_003EBC_0534	txt_4994e4ab_003EBC_0534	param	param/jyutu_data.dat	0x3EBC	534	82 a9 82 c2 81 49 81 49	かつ！！	喝!!   		translated_aligned	ok	yes			8	27	まげんぶんしんの術	めいそう
zh_txt_4994e4ab_003EE8_0536	txt_4994e4ab_003EE8_0536	param	param/jyutu_data.dat	0x3EE8	536	82 df 82 a2 82 bb 82 a4	めいそう	冥想  		translated_aligned	ok	yes			8	28	かつ！！	くろガマドスざん
zh_txt_4994e4ab_003F14_0538	txt_4994e4ab_003F14_0538	param	param/jyutu_data.dat	0x3F14	538	82 ad 82 eb 83 4b 83 7d 83 68 83 58 82 b4 82 f1	くろガマドスざん	黑蛤蟆毒斩 		translated_aligned	tight	yes			16	29	めいそう	ふきょうわおんの術
zh_txt_4994e4ab_003F40_0540	txt_4994e4ab_003F40_0540	param	param/jyutu_data.dat	0x3F40	540	82 d3 82 ab 82 e5 82 a4 82 ed 82 a8 82 f1 82 cc 8f 70	ふきょうわおんの術	不协和音之术		translated_aligned	tight	yes			18	30	くろガマドスざん	口よせの術
zh_txt_4994e4ab_003F6C_0542	txt_4994e4ab_003F6C_0542	param	param/jyutu_data.dat	0x3F6C	542	8c fb 82 e6 82 b9 82 cc 8f 70	口よせの術	通灵术 		translated_aligned	tight	yes			10	31	ふきょうわおんの術	カマイタチの術
